"","Age","Gender","Country","self_employed","family_history","treatment","work_interfere","no_employees","remote_work","tech_company","benefits","care_options","wellness_program","seek_help","anonymity","leave","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence"
"250",29,"F","United States","No","Yes","Yes","Rarely","500-1000","Yes","No","Yes","Yes","Yes","Don't know","Yes","Don't know","Maybe","No","Some of them","No","Maybe","Yes","Don't know","No"
"251",23,"M","United States","No","Yes","Yes","Sometimes","26-100","Yes","No","Don't know","No","No","Don't know","Yes","Somewhat easy","Maybe","No","Some of them","Some of them","No","Yes","Yes","No"
"252",28,"M","United States","No","Yes","No",NA,"100-500","No","Yes","Yes","No","No","Don't know","Yes","Somewhat easy","No","No","Some of them","Yes","No","Maybe","Yes","Yes"
"253",31,"M","United States","No","Yes","Yes","Rarely","100-500","Yes","Yes","Yes","Yes","Yes","Don't know","Yes","Very easy","No","No","Some of them","Yes","No","Maybe","Yes","No"
"254",27,"M","United Kingdom","No","No","No",NA,"100-500","No","No","Don't know","Not sure","Don't know","Don't know","No","Very easy","Maybe","Maybe","Yes","Yes","No","No","Don't know","No"
"255",24,"M","United States","No","No","No","Sometimes","6-25","No","Yes","Don't know","No","Don't know","Don't know","Don't know","Don't know","No","No","Yes","Yes","Maybe","Maybe","Don't know","No"
"256",29,"M","Canada","No","No","No","Often","6-25","No","Yes","No","No","No","No","Don't know","Somewhat difficult","Yes","No","No","No","No","Maybe","Don't know","No"
"257",23,"F","United Kingdom","No","No","Yes","Sometimes","6-25","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","Maybe","Maybe","Some of them","Some of them","No","Maybe","Yes","No"
"258",42,"M","United States","No","No","No","Never","6-25","Yes","Yes","No","Yes","No","Yes","Don't know","Somewhat easy","No","No","Some of them","Yes","No","No","Yes","No"
"259",24,"M","United Kingdom","No","No","No",NA,"1-5","No","Yes","No","No","No","No","Don't know","Don't know","Yes","No","Some of them","Some of them","No","Yes","No","No"
"260",25,"M","Australia","No","Yes","Yes","Often","6-25","No","Yes","No","Yes","No","No","No","Very difficult","Yes","Maybe","No","No","No","Yes","No","Yes"
"261",27,"F","United States","No","No","Yes","Rarely","6-25","No","Yes","Yes","No","No","No","Yes","Don't know","Maybe","Maybe","Yes","No","No","Maybe","Don't know","No"
"262",27,"M","Canada","No","No","No","Sometimes","6-25","Yes","Yes","No","Yes","No","No","No","Very difficult","Yes","Yes","Some of them","Some of them","No","Maybe","No","No"
"263",30,"M","United States","No","No","Yes","Sometimes","100-500","Yes","Yes","Yes","Yes","No","Yes","Yes","Don't know","No","No","Yes","Yes","Maybe","No","Yes","No"
"264",29,"M","Poland","No","Yes","Yes","Rarely","6-25","No","Yes","No","Yes","No","No","Yes","Very difficult","Maybe","No","Some of them","Some of them","No","Yes","No","No"
"265",43,"M","Canada","Yes","No","No",NA,"6-25","Yes","Yes","No","Not sure","No","No","Don't know","Somewhat easy","Maybe","No","Yes","Yes","Yes","Yes","Don't know","No"
"266",32,"M","United States","No","No","No",NA,"6-25","No","Yes","No","Yes","No","Don't know","Don't know","Very easy","No","No","Some of them","Yes","No","Maybe","Don't know","No"
"267",41,"M","United States","No","No","Yes","Sometimes","26-100","Yes","Yes","Yes","Yes","Don't know","No","Don't know","Very easy","No","No","Yes","Yes","Yes","Yes","Yes","No"
"268",32,"M","United Kingdom","Yes","Yes","Yes","Sometimes","1-5","Yes","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Very easy","Maybe","Maybe","Yes","Some of them","Maybe","Maybe","Don't know","Yes"
"269",37,"F","United States","No","Yes","Yes","Often","26-100","No","Yes","Yes","Yes","No","No","Yes","Don't know","Maybe","No","Some of them","Some of them","No","Yes","Don't know","No"
"270",32,"M","United States","No","No","No","Never","6-25","Yes","Yes","No","No","No","No","Don't know","Very easy","No","No","Yes","Yes","No","No","Don't know","No"
"271",30,"M","Ireland","Yes","No","No","Sometimes","1-5","Yes","Yes","No","No","No","No","Don't know","Somewhat difficult","No","No","Some of them","Some of them","No","Maybe","No","No"
"272",23,"F","United States","No","Yes","Yes","Never","100-500","No","No","Yes","No","Don't know","Don't know","Yes","Don't know","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"273",30,"M","United States","No","No","No",NA,"More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","No","No","Some of them","Yes","No","No","Yes","No"
"274",34,"M","United Kingdom","No","No","No","Sometimes","26-100","No","Yes","No","Yes","No","No","Don't know","Somewhat easy","Maybe","Maybe","Yes","Some of them","No","No","Don't know","No"
"275",38,"M","United States","No","No","Yes","Rarely","26-100","Yes","Yes","Yes","No","No","No","Don't know","Don't know","Yes","No","No","No","No","Maybe","No","No"
"276",33,"M","Canada","No","No","No",NA,"100-500","No","Yes","Yes","No","Yes","Yes","Yes","Don't know","No","No","Some of them","Yes","No","No","Don't know","No"
"277",34,"M","United States","No","No","No",NA,"26-100","No","No","Yes","No","No","No","Don't know","Don't know","Maybe","No","Some of them","No","No","No","Don't know","No"
"278",28,"M","Colombia","No","No","No","Sometimes","6-25","No","Yes","No","Yes","No","No","Don't know","Somewhat easy","Maybe","Maybe","No","Some of them","No","No","Don't know","No"
"279",28,"M","United States","No","No","Yes","Rarely","100-500","No","No","Yes","Yes","Yes","Don't know","Don't know","Very easy","Maybe","No","Some of them","Some of them","No","No","Yes","No"
"280",23,"M","United States","No","Yes","No","Sometimes","100-500","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","No","No","Maybe","No","No"
"281",22,"M","Australia","Yes","Yes","Yes","Sometimes","6-25","Yes","Yes","Don't know","Not sure","Yes","Yes","Don't know","Somewhat easy","Maybe","No","Some of them","Yes","No","Yes","No","Yes"
"282",27,"M","Portugal","No","No","No","Never","6-25","No","Yes","No","No","No","No","Yes","Don't know","Yes","No","No","No","No","Maybe","Don't know","No"
"283",18,"M","United States","No","No","Yes","Sometimes","6-25","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","Yes","No","No","No","No","Maybe","Don't know","No"
"284",35,"M","United States","No","Yes","Yes","Sometimes","26-100","No","Yes","Yes","Yes","No","No","Yes","Somewhat difficult","Yes","No","No","Some of them","No","Maybe","Don't know","No"
"285",25,"M","Canada","No","No","No",NA,"100-500","No","No","Don't know","Not sure","No","No","Don't know","Don't know","No","No","Some of them","Some of them","No","Yes","No","No"
"286",27,"M","United Kingdom","No","Yes","Yes","Sometimes","6-25","No","Yes","No","No","No","No","Yes","Somewhat easy","Maybe","Maybe","Yes","Yes","Yes","Yes","Yes","No"
"287",26,"F","United States","No","Yes","Yes","Rarely","More than 1000","No","Yes","Yes","Not sure","Don't know","Don't know","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","No","Don't know","No"
"288",18,"M","United States","No","No","No","Never","26-100","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Very easy","No","No","Some of them","Some of them","No","Maybe","Yes","No"
"289",38,"F","United States","No","No","Yes","Sometimes","1-5","No","Yes","No","Yes","No","No","Don't know","Don't know","No","Maybe","Some of them","No","No","No","Don't know","Yes"
"290",26,"F","United States","No","Yes","Yes","Rarely","More than 1000","Yes","Yes","Yes","Yes","Yes","Don't know","Don't know","Somewhat easy","Maybe","No","Some of them","No","No","No","Don't know","No"
"291",30,"M","Switzerland","Yes","No","No","Never","1-5","No","Yes","No","No","No","No","No","Somewhat easy","No","No","Yes","Yes","No","No","Yes","No"
"292",35,"M","United States","No","No","No","Never","More than 1000","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","Yes","Maybe","Some of them","Some of them","No","No","Don't know","No"
"293",45,"M","United States","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","Don't know","Don't know","Yes","Don't know","Maybe","No","Some of them","Some of them","No","Maybe","Don't know","No"
"294",32,"M","United States","No","No","No","Never","More than 1000","No","Yes","Yes","No","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","No","Don't know","No"
"295",56,"M","United States","No","No","Yes","Never","More than 1000","No","Yes","Yes","Not sure","Don't know","Don't know","Don't know","Don't know","No","Maybe","Yes","Some of them","No","Maybe","Don't know","No"
"296",24,"F","United States","No","No","No",NA,"500-1000","No","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","Maybe","Maybe","Some of them","No","No","Maybe","No","No"
"297",30,"F","United States","No","Yes","Yes","Sometimes","26-100","No","Yes","Yes","Yes","Yes","Don't know","Don't know","Very easy","No","No","Yes","Yes","No","Yes","Yes","No"
"298",60,"M","United States","No","No","No",NA,"More than 1000","No","Yes","Yes","No","Don't know","Yes","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"299",33,"M","United States","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Yes","No","Yes","Yes","Don't know","Don't know","Yes","No","No","No","No","Maybe","Don't know","No"
"300",37,"M","United States","No","No","No","Never","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Maybe","Don't know","No"
"301",23,"F","United States","No","No","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Don't know","Don't know","No","No","Some of them","Some of them","No","No","Yes","No"
"302",31,"F","United States","No","No","Yes","Sometimes","More than 1000","No","Yes","Yes","Not sure","Don't know","Don't know","Yes","Somewhat easy","No","No","Yes","Yes","No","No","Yes","No"
"303",26,"M","United States","No","No","No","Rarely","100-500","No","Yes","Yes","Not sure","No","Don't know","Don't know","Don't know","No","No","Some of them","Yes","No","Maybe","Don't know","No"
"304",28,"F","United States","No","Yes","Yes","Often","100-500","Yes","No","Yes","Yes","Yes","Yes","Yes","Somewhat easy","Yes","No","Some of them","Yes","No","No","Yes","No"
"305",37,"F","United States","No","No","Yes","Rarely","More than 1000","No","Yes","Yes","Yes","Don't know","Yes","Don't know","Somewhat easy","No","No","Some of them","Yes","No","No","Yes","No"
"306",26,"M","Canada","No","Yes","Yes","Often","6-25","No","Yes","Yes","No","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","Some of them","Maybe","Maybe","Yes","No"
"308",26,"M","United States","No","No","No",NA,"26-100","No","Yes","No","No","No","No","Don't know","Don't know","No","No","Some of them","Some of them","No","No","Don't know","Yes"
"309",25,"M","United States","No","No","No",NA,"26-100","Yes","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","No","No","Some of them","Yes","No","No","Don't know","No"
"310",27,"M","United States","No","No","No","Sometimes","100-500","No","Yes","Yes","Not sure","Yes","Yes","Don't know","Don't know","Maybe","No","Some of them","Yes","No","Maybe","Don't know","No"
"311",25,"M","Canada","No","No","Yes","Often","6-25","Yes","No","Don't know","No","No","Don't know","Don't know","Somewhat difficult","Yes","Maybe","No","No","No","Maybe","Don't know","No"
"312",35,"M","United States","No","No","Yes","Rarely","100-500","No","Yes","Yes","Not sure","Don't know","Yes","Don't know","Don't know","No","No","Some of them","Yes","No","No","Don't know","No"
"313",36,"M","United States","Yes","No","Yes","Never","1-5","No","Yes","No","Yes","No","No","Don't know","Somewhat easy","Maybe","No","Some of them","Yes","No","No","Yes","No"
"314",26,"M","United States","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Yes","Not sure","No","Don't know","Don't know","Don't know","Yes","No","No","No","No","No","No","No"
"315",27,"M","United States","No","Yes","No",NA,"More than 1000","No","Yes","Don't know","No","Don't know","Don't know","Don't know","Very easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"316",30,"M","United States","No","No","No",NA,"6-25","No","No","Don't know","Not sure","No","Don't know","Don't know","Don't know","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No"
"317",29,"M","United States","No","No","No",NA,"100-500","No","No","Don't know","Not sure","No","Don't know","Don't know","Don't know","Maybe","No","No","No","No","Maybe","Don't know","No"
"318",25,"M","United States","No","No","No","Never","More than 1000","No","No","Yes","Yes","Yes","Yes","Yes","Very easy","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"319",22,"F","United States","No","Yes","Yes","Often","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","Maybe","No","No","Some of them","No","No","Yes","Yes"
"320",29,"M","Latvia","No","No","No",NA,"26-100","No","Yes","No","Yes","No","No","Don't know","Somewhat easy","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No"
"321",41,"M","United States","No","Yes","Yes","Rarely","100-500","Yes","Yes","Yes","Yes","Don't know","Yes","Yes","Somewhat easy","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"322",29,"M","United States","No","No","Yes","Sometimes","More than 1000","No","Yes","Yes","No","No","Don't know","Don't know","Don't know","Yes","No","Some of them","Some of them","No","Maybe","No","No"
"323",32,"M","United States","No","No","No","Never","500-1000","No","Yes","Yes","Not sure","Don't know","Yes","Yes","Somewhat easy","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"324",24,"F","United States","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","No","Yes","Yes","Don't know","Maybe","No","Some of them","No","No","Maybe","Don't know","No"
"325",25,"M","United States","No","No","Yes","Rarely","6-25","No","Yes","Yes","No","Don't know","No","Don't know","Don't know","Maybe","No","No","No","No","No","Don't know","No"
"326",25,"M","United States","No","No","No",NA,"More than 1000","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","Maybe","No","No","No","No","Maybe","Don't know","No"
"327",30,"F","United States","No","No","No","Never","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","Maybe","Maybe","No","Some of them","No","No","Don't know","No"
"328",25,"M","United States","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Don't know","Not sure","Don't know","Yes","Don't know","Don't know","No","No","Yes","Yes","No","No","Yes","No"
"329",30,"M","United States","Yes","No","No","Never","1-5","Yes","Yes","No","Yes","No","No","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","Maybe","Don't know","No"
"330",33,"M","Germany","Yes","Yes","Yes","Rarely","1-5","No","No","No","No","No","No","Don't know","Somewhat difficult","Yes","Yes","No","No","Maybe","No","Yes","Yes"
"331",24,"M","United States","No","No","No",NA,"26-100","No","Yes","Yes","Not sure","Yes","Yes","Yes","Very easy","No","No","Some of them","Some of them","No","Maybe","Yes","No"
"332",25,"M","Canada","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","No","Don't know","Don't know","Don't know","Yes","Maybe","Some of them","No","No","No","No","No"
"333",31,"M","United States","No","No","No",NA,"100-500","No","No","Don't know","No","No","No","Yes","Somewhat easy","Maybe","No","No","No","No","Yes","No","No"
"334",45,"M","Ireland","Yes","No","Yes","Often","1-5","No","Yes","No","No","No","No","Don't know","Very difficult","No","No","No","No","No","No","Don't know","No"
"335",29,"M","Romania","No","No","No",NA,"6-25","Yes","No","No","Yes","No","No","Don't know","Don't know","Maybe","Maybe","Some of them","Some of them","Maybe","Maybe","No","No"
"336",46,"M","United States","No","No","No","Never","26-100","No","Yes","Yes","Not sure","Yes","Don't know","Don't know","Very easy","No","No","Some of them","Some of them","Maybe","Maybe","Don't know","No"
"337",30,"M","United Kingdom","No","No","Yes","Sometimes","26-100","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","Yes","Maybe","No","No","No","Maybe","Don't know","No"
"338",29,"F","United States","Yes","No","No","Sometimes","More than 1000","No","Yes","Yes","Not sure","Don't know","No","Don't know","Very easy","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No"
"339",24,"M","United States","No","No","No",NA,"More than 1000","No","Yes","Yes","Yes","Don't know","Don't know","Yes","Don't know","Yes","No","No","No","No","Maybe","Don't know","No"
"340",29,"M","United States","No","No","No",NA,"26-100","No","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","No","No","Some of them","Yes","No","Maybe","Yes","No"
"341",35,"M","United States","No","No","No",NA,"26-100","No","No","Don't know","Not sure","No","Don't know","Don't know","Don't know","No","No","Yes","Yes","No","No","No","No"
"342",33,"F","United States","No","Yes","No","Sometimes","26-100","Yes","Yes","No","Yes","No","No","Don't know","Very difficult","Yes","Maybe","Some of them","Some of them","No","Maybe","No","No"
"343",27,"M","United States","No","No","No","Sometimes","More than 1000","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Very easy","Yes","No","No","No","No","Maybe","No","No"
"344",36,"M","United States","No","No","No",NA,"More than 1000","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","No","Don't know","No"
"345",33,"M","United Kingdom","No","No","No","Rarely","1-5","Yes","Yes","Don't know","No","No","No","Don't know","Don't know","Yes","Maybe","No","No","No","Maybe","No","No"
"346",25,"F","United States","No","Yes","Yes","Sometimes","26-100","No","Yes","Yes","Yes","No","No","Yes","Don't know","No","No","Some of them","Yes","No","No","Don't know","No"
"347",23,"M","United States","No","Yes","Yes","Sometimes","100-500","No","No","Don't know","No","No","No","Don't know","Don't know","No","No","Yes","Yes","Maybe","Yes","Don't know","No"
"348",54,"M","United States","No","Yes","Yes","Never","More than 1000","No","Yes","Don't know","No","Yes","Yes","Don't know","Don't know","No","No","No","Yes","No","No","Don't know","No"
"349",22,"M","United States","No","No","No","Sometimes","More than 1000","No","Yes","Don't know","No","Don't know","Don't know","Don't know","Don't know","Maybe","No","Some of them","No","No","Maybe","Don't know","No"
"351",29,"M","Belgium","No","No","No","Often","6-25","No","No","Don't know","No","No","No","Don't know","Don't know","Maybe","No","Yes","Yes","Maybe","Maybe","Don't know","No"
"352",27,"M","United States","No","No","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Don't know","No","No","No","No","No","Yes","Yes","No"
"353",30,"M","United Kingdom","No","No","No","Never","6-25","No","Yes","No","No","No","Don't know","Don't know","Very easy","No","No","Some of them","Yes","No","Maybe","Yes","No"
"354",26,"M","United States","No","Yes","Yes","Often","More than 1000","No","Yes","Yes","Not sure","Don't know","Yes","Don't know","Don't know","Maybe","No","Some of them","No","No","No","Don't know","No"
"355",25,"F","Sweden","No","Yes","No","Sometimes","6-25","No","Yes","Yes","Yes","Yes","No","Don't know","Somewhat easy","No","No","Some of them","Yes","No","No","No","No"
"356",31,"M","United States","No","No","Yes","Sometimes","500-1000","No","No","No","Yes","No","Don't know","Yes","Don't know","No","No","Some of them","No","No","No","No","No"
"357",33,"M","United States","No","Yes","Yes","Sometimes","26-100","No","Yes","Don't know","Not sure","No","No","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","No","Don't know","No"
"358",34,"M","United States","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","Don't know","Yes","Yes","Don't know","Maybe","Maybe","No","No","No","No","Don't know","No"
"359",34,"M","United States","No","No","Yes","Sometimes","100-500","Yes","Yes","No","No","No","No","Don't know","Somewhat easy","Yes","Yes","Some of them","Some of them","No","Maybe","Don't know","No"
"360",29,"M","United States","Yes","No","No",NA,"1-5","Yes","Yes","No","Yes","No","No","Yes","Very easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"361",33,"F","United States","No","No","No",NA,"6-25","No","Yes","No","No","No","No","Don't know","Somewhat difficult","Maybe","No","Some of them","Some of them","No","No","Don't know","No"
"362",34,"M","Germany","Yes","Yes","Yes","Rarely","26-100","Yes","Yes","No","No","No","Don't know","Don't know","Somewhat difficult","No","No","Yes","Yes","No","Maybe","Yes","No"
"363",26,"M","United States","Yes","Yes","Yes","Rarely","100-500","Yes","No","No","No","No","Don't know","No","Don't know","Maybe","No","Some of them","Yes","No","Yes","No","No"
"364",32,"M","United States","No","Yes","Yes","Rarely","More than 1000","No","No","Yes","Yes","Yes","Yes","Yes","Don't know","No","No","Some of them","Yes","No","Yes","Yes","No"
"366",28,"M","United States","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Don't know","Not sure","No","Don't know","Don't know","Somewhat difficult","Maybe","Maybe","No","No","No","No","No","No"
"367",35,"M","United States","No","Yes","No",NA,"More than 1000","No","Yes","Yes","No","Yes","Yes","Yes","Very easy","No","No","Some of them","Yes","No","No","Don't know","No"
"368",36,"M","United States","No","Yes","Yes","Often","100-500","No","Yes","No","Yes","No","No","Yes","Very easy","No","No","Some of them","Some of them","No","No","Don't know","No"
"369",21,"M","United States","No","Yes","Yes","Rarely","100-500","No","Yes","Yes","No","No","Don't know","Yes","Don't know","No","No","Yes","Yes","Maybe","Maybe","Don't know","No"
"370",21,"M","United Kingdom","No","No","Yes","Sometimes","6-25","No","No","Don't know","Not sure","No","No","No","Very easy","Yes","No","Some of them","No","No","Maybe","No","No"
"371",22,"F","United States","No","No","No",NA,"More than 1000","No","Yes","Yes","No","Yes","Yes","Yes","Somewhat easy","No","No","No","Some of them","No","No","Yes","No"
"372",41,"M","United States","No","Yes","Yes","Often","More than 1000","No","Yes","Yes","No","Yes","Yes","Don't know","Somewhat difficult","Maybe","No","Yes","Some of them","No","Maybe","No","Yes"
"373",55,"M","United States","No","Yes","Yes","Rarely","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","No","No","Yes","Yes","No","No","Yes","No"
"374",32,"F","United States","No","No","Yes","Sometimes","26-100","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","Maybe","No","Some of them","Yes","No","Maybe","Yes","No"
"375",21,"F","United States","No","Yes","Yes","Rarely","26-100","No","Yes","Don't know","Not sure","Don't know","No","Don't know","Somewhat easy","Yes","No","Some of them","No","No","Yes","Don't know","No"
"376",45,"M","United States","No","No","Yes","Never","26-100","Yes","Yes","Yes","Yes","Don't know","Don't know","Don't know","Don't know","Maybe","No","No","Some of them","No","Maybe","Don't know","No"
"377",27,"F","United States","No","No","Yes","Rarely","More than 1000","No","Yes","Yes","Yes","No","No","Yes","Don't know","Yes","Maybe","No","No","No","No","No","No"
"378",25,"F","United States","No","Yes","Yes","Sometimes","26-100","Yes","Yes","Don't know","No","No","No","Don't know","Don't know","Maybe","No","Some of them","Yes","No","No","Yes","No"
"379",34,"F","United States","No","Yes","Yes","Rarely","More than 1000","No","No","Yes","Yes","Yes","Yes","Yes","Very difficult","Maybe","Maybe","Some of them","Some of them","No","No","Yes","No"
"380",26,"F","United States","No","Yes","Yes","Never","More than 1000","No","Yes","Yes","Yes","No","Yes","Yes","Don't know","Maybe","No","No","No","No","No","Don't know","No"
"381",41,"M","Canada","No","No","Yes","Never","500-1000","No","Yes","Yes","Not sure","No","Don't know","Don't know","Somewhat easy","No","No","Some of them","Some of them","No","No","Don't know","No"
"382",27,"M","United States","No","No","Yes","Rarely","More than 1000","No","Yes","Yes","No","Yes","Yes","Yes","Don't know","No","No","Some of them","Yes","No","Maybe","Yes","No"
"383",31,"M","United States","No","Yes","Yes","Sometimes","26-100","Yes","Yes","Yes","No","No","No","Don't know","Don't know","No","No","Yes","Yes","No","No","Don't know","No"
"384",25,"M","Germany","No","Yes","Yes","Often","26-100","Yes","Yes","No","No","No","No","Yes","Somewhat easy","No","No","Yes","Yes","No","Yes","No","No"
"385",26,"M","United States","No","No","Yes","Sometimes","6-25","No","Yes","Don't know","No","No","No","Don't know","Don't know","Yes","Yes","Some of them","No","No","No","No","No"
"386",27,"F","United States","No","Yes","Yes","Rarely","More than 1000","Yes","Yes","Yes","Yes","No","Don't know","Don't know","Don't know","Maybe","Maybe","No","Yes","No","No","Don't know","No"
"387",42,"M","New Zealand","No","No","No","Never","500-1000","No","Yes","Don't know","Not sure","No","No","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Maybe","Don't know","No"
"389",25,"F","United States","No","No","Yes","Sometimes","6-25","No","Yes","Don't know","Not sure","No","No","Don't know","Somewhat difficult","Yes","No","Some of them","No","No","Maybe","Don't know","No"
"390",33,"F","Sweden","No","Yes","Yes","Rarely","More than 1000","No","Yes","Yes","Yes","No","Yes","Yes","Don't know","Maybe","No","Some of them","No","No","Yes","Don't know","No"
"392",40,"F","United States","No","Yes","Yes","Rarely","More than 1000","No","No","Yes","No","Don't know","Don't know","Don't know","Somewhat easy","Maybe","Maybe","No","No","No","No","Don't know","No"
"393",31,"M","United States","No","No","No","Never","More than 1000","No","Yes","Don't know","No","No","Don't know","Don't know","Somewhat easy","Yes","No","Some of them","No","No","No","Don't know","No"
"394",26,"M","Canada","No","Yes","Yes","Often","26-100","Yes","Yes","Don't know","No","Don't know","Don't know","Don't know","Very easy","No","No","Yes","Yes","No","No","Yes","No"
"395",24,"F","United States","No","Yes","No",NA,"500-1000","No","No","No","No","No","No","No","Very difficult","Yes","Maybe","No","No","No","Maybe","No","Yes"
"396",29,"M","United States","No","No","No","Never","More than 1000","No","No","Yes","Not sure","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","No","Don't know","No"
"397",48,"M","United Kingdom","No","No","No",NA,"26-100","No","Yes","Don't know","No","No","No","Don't know","Don't know","Maybe","Maybe","No","No","No","No","No","No"
"398",35,"M","United Kingdom","No","No","No","Sometimes","6-25","No","Yes","No","No","No","No","Don't know","Very difficult","Maybe","Maybe","Some of them","Yes","No","Maybe","No","Yes"
"399",32,"F","United States","No","No","No","Never","100-500","No","Yes","Don't know","Not sure","No","No","Don't know","Don't know","Maybe","No","No","Some of them","No","Maybe","Don't know","No"
"400",29,"M","Canada","No","No","Yes","Sometimes","100-500","No","Yes","Don't know","Not sure","Don't know","Don't know","Yes","Somewhat easy","Maybe","No","Some of them","Some of them","No","Maybe","Yes","No"
"401",26,"M","United States","No","Yes","Yes","Often","6-25","No","Yes","Yes","Yes","No","No","Don't know","Somewhat difficult","Maybe","No","Some of them","Yes","No","No","No","No"
"402",28,"M","United States","No","Yes","Yes","Sometimes","26-100","No","Yes","Yes","Yes","No","No","Don't know","Don't know","Maybe","No","Some of them","No","No","Maybe","No","No"
"403",23,"M","United States","No","No","No",NA,"More than 1000","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","No","No","Some of them","Yes","No","Maybe","No","No"
"404",35,"M","United States","No","Yes","Yes","Sometimes","100-500","No","Yes","Yes","Yes","No","No","Don't know","Very difficult","Maybe","Maybe","Some of them","Some of them","No","Maybe","No","Yes"
"405",29,"M","Germany","No","Yes","Yes","Sometimes","26-100","No","Yes","Don't know","No","No","No","Don't know","Very easy","Maybe","No","Some of them","Some of them","Maybe","Maybe","Don't know","No"
"406",26,"M","United States","No","Yes","No",NA,"6-25","No","Yes","Yes","Yes","No","Yes","Yes","Very easy","No","No","Some of them","Yes","Maybe","Maybe","No","No"
"407",33,"M","United States","No","Yes","Yes","Never","26-100","Yes","Yes","Yes","Yes","Yes","Yes","Don't know","Don't know","Yes","Maybe","Yes","Some of them","No","No","Yes","No"
"408",33,"M","United States","No","No","No",NA,"More than 1000","Yes","Yes","Don't know","No","Don't know","Don't know","Don't know","Don't know","Yes","No","Some of them","No","No","Maybe","Yes","No"
"409",22,"M","Brazil","Yes","No","No","Never","6-25","Yes","Yes","Don't know","No","No","No","Don't know","Somewhat easy","No","No","Yes","Yes","Maybe","No","Don't know","No"
"410",30,"F","Spain","No","Yes","No",NA,"500-1000","No","Yes","No","No","No","No","Don't know","Don't know","Yes","Maybe","No","No","No","No","Don't know","No"
"411",33,"M","United States","No","Yes","Yes","Often","More than 1000","Yes","Yes","Yes","Yes","No","No","Don't know","Somewhat easy","Yes","No","No","No","No","No","No","No"
"412",31,"F","United States","No","Yes","Yes","Rarely","More than 1000","No","No","Don't know","Not sure","No","Don't know","Don't know","Very difficult","Yes","Maybe","No","No","No","Maybe","No","No"
"413",21,"M","United States","No","Yes","No","Never","More than 1000","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","No","No","Some of them","Some of them","No","Maybe","Don't know","Yes"
